,C_minmax,I_minmax,Q_minmax,index_minmax,C_robust,I_robust,Q_robust,index_robust,C_percentile,I_percentile,Q_percentile,index_percentile
2013-02-01,0.3695652173913042,0.84375,0.5506770875100645,0.5879974349671229,0.17557251908396918,1.0,0.5398375770055114,0.5718033653631602,0.4022346368715084,0.9050279329608939,0.45251396648044695,0.5865921787709497
2013-03-01,0.3369565217391302,0.8124999999999999,0.5484732653562607,0.5659765956984636,0.11832061068702245,0.9499999999999997,0.5348028540209572,0.5343744882359931,0.32122905027932963,0.8798882681564246,0.441340782122905,0.547486033519553
2013-04-01,0.31521739130434767,0.78125,0.5559374274800676,0.5508016062614717,0.08015267175572487,0.8999999999999999,0.5518550415308735,0.5106692377621994,0.2541899441340782,0.8603351955307262,0.4692737430167598,0.5279329608938547
2013-05-01,0.2826086956521737,0.8124999999999999,0.5351391791321656,0.5434159582614464,0.022900763358778144,0.9499999999999997,0.5043405817933143,0.492413781717364,0.15083798882681565,0.8798882681564246,0.40782122905027934,0.4795158286778399
2013-06-01,0.27173913043478265,0.7187499999999999,0.5439028355746974,0.5114639886698266,0.0038167938931296906,0.7999999999999998,0.5243615178946224,0.44272610392925066,0.12011173184357542,0.8296089385474861,0.4245810055865922,0.4581005586592179
2013-07-01,0.2608695652173912,0.6875,0.5172048512450315,0.4885248054874742,0.0,0.75,0.46336886696140756,0.40445628898713587,0.0893854748603352,0.7737430167597765,0.3687150837988827,0.41061452513966484
2013-08-01,0.27173913043478265,0.6562499999999999,0.5274848344823921,0.4851579883057249,0.0038167938931296906,0.6999999999999997,0.4868539144261681,0.39689023610643254,0.12011173184357542,0.7122905027932961,0.4022346368715084,0.4115456238361266
2013-09-01,0.2826086956521737,0.6562499999999999,0.574802162747544,0.5045536194665726,0.022900763358778144,0.6999999999999997,0.5949523105572164,0.43928435797199805,0.15083798882681565,0.7122905027932961,0.5139664804469274,0.4590316573556797
2013-10-01,0.2826086956521737,0.5937500000000001,0.5641647434719361,0.48017447970803667,0.022900763358778144,0.6000000000000001,0.5706506856593969,0.39785048300605835,0.15083798882681565,0.6424581005586593,0.49162011173184356,0.4283054003724395
2013-11-01,0.2934782608695652,0.53125,0.5584279155681768,0.46105205881258066,0.04198473282442727,0.5,0.5575446647149951,0.3665097991798074,0.18156424581005587,0.5502793296089385,0.4860335195530726,0.40595903165735575
2013-12-01,0.31521739130434767,0.53125,0.4554164022898091,0.43396126453138556,0.08015267175572487,0.5,0.3222105962734197,0.3007877560097148,0.2541899441340782,0.5502793296089385,0.2849162011173184,0.3631284916201117
2014-01-01,0.31521739130434767,0.53125,0.5115783932754494,0.4526819281932657,0.08015267175572487,0.5,0.45051499070274914,0.343555887486158,0.2541899441340782,0.5502793296089385,0.3575418994413408,0.3873370577281192
2014-02-01,0.31521739130434767,0.4999999999999999,0.5817328409125729,0.4656500774056402,0.08015267175572487,0.44999999999999973,0.6107857318683658,0.3803128012080301,0.2541899441340782,0.4748603351955307,0.5251396648044693,0.41806331471135944
2014-03-01,0.30434782608695626,0.4999999999999999,0.6147244956317665,0.4730241072395742,0.06106870229007573,0.44999999999999973,0.6861565334670833,0.39907507858571956,0.2122905027932961,0.4748603351955307,0.5921787709497207,0.4264432029795158
2014-04-01,0.30434782608695626,0.4999999999999999,0.6594683308182747,0.4879387189684103,0.06106870229007573,0.44999999999999973,0.7883756780753737,0.4331481267884831,0.2122905027932961,0.4748603351955307,0.6703910614525139,0.45251396648044695
2014-05-01,0.31521739130434767,0.53125,0.6517053504599767,0.49939091392144147,0.08015267175572487,0.5,0.7706408279328124,0.45026449989617906,0.2541899441340782,0.5502793296089385,0.6480446927374302,0.48417132216014896
2014-06-01,0.32608695652173914,0.4999999999999999,0.6899350539930583,0.5053406701715991,0.09923664122137399,0.44999999999999973,0.8579781689875299,0.4690716034029679,0.29608938547486036,0.4748603351955307,0.7374301675977654,0.5027932960893855
2014-07-01,0.3369565217391302,0.53125,0.6490692006172867,0.5057585741188056,0.11832061068702245,0.5,0.7646184344375785,0.4609796817082003,0.32122905027932963,0.5502793296089385,0.6368715083798883,0.5027932960893855
2014-08-01,0.31521739130434767,0.53125,0.6504374883264215,0.4989682932102564,0.08015267175572487,0.5,0.7677443443785297,0.4492990053780848,0.2541899441340782,0.5502793296089385,0.6424581005586593,0.4823091247672253
2014-09-01,0.31521739130434767,0.53125,0.6601768905608222,0.5022147606217233,0.08015267175572487,0.5,0.7899944121531559,0.4567156946362936,0.2541899441340782,0.5502793296089385,0.6759776536312849,0.49348230912476726
2014-10-01,0.32608695652173914,0.4999999999999999,0.6370057004401637,0.4876975523206342,0.09923664122137399,0.44999999999999973,0.7370588686572339,0.4287651699595359,0.29608938547486036,0.4748603351955307,0.6201117318435754,0.4636871508379888
2014-11-01,0.35869565217391275,0.46875,0.6122047338649472,0.4798834620129533,0.15648854961832004,0.3999999999999999,0.6804000333515412,0.41229619432328707,0.3743016759776536,0.40782122905027934,0.5865921787709497,0.4562383612662943
2014-12-01,0.4021739130434782,0.40624999999999994,0.495715994371591,0.43471330247168966,0.2328244274809159,0.2999999999999998,0.4142766834447963,0.3157003703085707,0.4720670391061452,0.32122905027932963,0.3407821229050279,0.37802607076350087
2015-01-01,0.45652173913043476,0.40624999999999994,0.5568854725678422,0.4732190705660923,0.3282442748091602,0.2999999999999998,0.5540208897984273,0.39408838820252906,0.5837988826815642,0.32122905027932963,0.48044692737430167,0.4618249534450652
2015-02-01,0.4782608695652173,0.40624999999999994,0.6308504175952517,0.5051204290534898,0.3664122137404578,0.2999999999999998,0.7229968700689076,0.46313636126978835,0.61731843575419,0.32122905027932963,0.6089385474860335,0.515828677839851
2015-03-01,0.46739130434782583,0.37500000000000006,0.6232584754242694,0.48854992659069846,0.34732824427480863,0.25,0.7056527637490401,0.4343270026746162,0.5949720670391061,0.28212290502793297,0.6033519553072626,0.49348230912476726
